product_id,title,description,category,brand,price,rating,created_date
P034,McGraw Hill Textbook,Authoritative Textbook by leading experts in the field.,Books,McGraw Hill,18.9,4.6,2025-03-21
P035,Samsung Monitor,High-quality Monitor from Samsung featuring advanced technology and sleek design.,Electronics,Samsung,656.42,4.7,2025-06-09
P036,Uniqlo Dress,High-quality Dress made with premium materials and modern design.,Clothing,Uniqlo,198.52,3.8,2025-01-02
P037,Canon Tablet,Canon Tablet with state-of-the-art technology and user-friendly interface.,Electronics,Canon,1780.06,3.8,2025-03-13
P038,McGraw Hill Self-Help,Authoritative Self-Help by leading experts in the field.,Books,McGraw Hill,109.85,4.2,2025-05-08
P039,H&M Jacket Elite,"Stylish and comfortable Jacket from H&M, perfect for everyday wear.",Clothing,H&M,233.02,4.8,2025-02-16
P040,Bose Smartphone,Professional-grade Smartphone with cutting-edge features and excellent performance.,Electronics,Bose,1012.9,4.3,2025-06-27
P041,Under Armour Yoga Mat,High-performance Yoga Mat from Under Armour designed for active lifestyles.,Sports & Outdoors,Under Armour,634.44,4.0,2024-08-15
P042,Adidas Pants Elite,High-quality Pants made with premium materials and modern design.,Clothing,Adidas,50.21,4.2,2024-10-03
P043,Adidas Running Shoes,Professional-grade Running Shoes offering superior performance and reliability.,Sports & Outdoors,Adidas,52.24,3.6,2025-03-15
P044,H&M Sweater,High-quality Sweater made with premium materials and modern design.,Clothing,H&M,162.4,4.6,2024-08-17
P045,Hamilton Beach Furniture Pro,Essential Furniture from Hamilton Beach designed to make your daily tasks easier.,Home & Kitchen,Hamilton Beach,728.36,4.0,2024-12-04
P046,Adidas Yoga Mat,Professional-grade Yoga Mat offering superior performance and reliability.,Sports & Outdoors,Adidas,910.33,3.6,2025-05-20
P047,Ninja Blender,Professional-quality Blender with durable construction and reliable performance.,Home & Kitchen,Ninja,202.32,4.1,2024-12-14
P048,Nike Backpack,Professional-grade Backpack offering superior performance and reliability.,Sports & Outdoors,Nike,206.05,4.0,2024-08-21
P049,HP Tablet,High-quality Tablet from HP featuring advanced technology and sleek design.,Electronics,HP,1862.91,4.4,2024-10-16
P050,Levi's Jacket,"Trendy Jacket by Levi's combining style, comfort, and durability.",Clothing,Levi's,264.01,4.7,2025-04-13
